id%case_no%time%shift%date%location%latitude%longitude%incident_type
101%B11-000847%5:23pm%II%April07,2011%2000 Block of Flagstone Dr Madison AL%34.6922419%-86.7213326%DOMESTIC VIOLENCE 3RD
102%B11-000848%6:45pm%II%April07,2011%100 Block of Brandon Dr Madison Madison AL%34.6872171%-86.7571658%THEFT 3RD DEGREE
103%B11-000849%7:30pm%II%April07,2011%Walmart Super Center #2690, 8650 Madison Blvd Madison AL%34.6837877%-86.7409921%THEFT 3RD DEGREE
104%B11-000850%9:45pm%II%April07,2011%100 Block of Lake Crest Cir Madison AL%34.7364963%-86.7443546%DOMESTIC VIOLENCE 3RD
105%B11-000851%10:31pm%III%April07,2011%100 Block of Village Ln Madison Madison AL%34.7591003%-86.7738854%AUTO THEFT-1ST DEGREE
106%B11-000852%11:27pm%III%April07,2011%City Of Madison, 113 Bridgefield Rd Madison AL%34.71375%-86.753403%DISCHARGING FIREARM IN CITY LIMITS
107%B11-000854%10:33am%I%April08,2011%100 Block of Medicine Bend Dr Madison AL%34.746517%-86.757482%THEFT 2ND DEGREE
108%B11-000854%10:33am%I%April08,2011%100 Block of Medicine Bend Dr Madison AL%34.746517%-86.757482%BURGLARY-3RD
109%B11-000855%11:11am%I%April08,2011%100 Block of Meadow Dr Madison AL%34.6872273%-86.7533294%IDENTITY THEFT
110%B11-000857%4:14pm%II%April08,2011%Walmart Pharmacy, 8650 Madison Blvd Madison AL%34.6837877%-86.7409921%THEFT 3RD DEGREE
111%B11-000859%7:41pm%II%April08,2011%7000 Block of Hwy 72 Madison Madison AL%34.7559545%-86.7260735%COLLISION WITH UNATTENDED VEHICLE
112%B11-000860%4:47am%III%April09,2011%State Of Alabama, Forest Glade Dr / Shelton Rd Madison AL%34.7019265%-86.724436%PROMOTING CONTRABAND 2ND
113%B11-000861%3:30am%III%April09,2011%100 Block of Angela Dr Madison AL%34.728787%-86.753857%DOMESTIC VIOLENCE 3RD
114%B11-000862%4:57am%III%April09,2011%100 Block of Brydon Cir Madison AL%34.7349085%-86.7707399%BURGLARY-3RD
115%B11-000862%4:57am%III%April09,2011%100 Block of Brydon Cir Madison AL%34.7349085%-86.7707399%THEFT 1ST DEGREE
116%B11-000863%8:05am%I%April09,2011%10000 Block of County Line Rd Madison Madison AL%34.6632591%-86.7869496%BREAKING AND ENTERING A VEHICLE
117%B11-000864%9:56am%I%April09,2011%100 Block of Ivy Chase Dr Madison AL%34.7027513%-86.7807259%HARASSING COMMUNICATIONS
118%B11-000865%10:04am%I%April09,2011%100 Block of Morning Vista Dr Madison AL%34.707577%-86.711726%BREAKING AND ENTERING A VEHICLE
119%B11-000866%1:14pm%I%April09,2011%100 Block of Joe Phillips Rd Madison AL%34.73672%-86.785831%BREAKING AND ENTERING A VEHICLE
120%B11-000867%2:40pm%II%April09,2011%Great Clips, 8498 Madison Blvd Madison Madison AL%34.6833647%-86.7366503%THEFT 3RD DEGREE
121%B11-000871%11:30pm%III%April09,2011%600 Block of Hughes Rd Madison Madison AL%34.7185872%-86.7417194%DOMESTIC VIOLENCE 3RD
122%B11-000871%11:30pm%III%April09,2011%600 Block of Hughes Rd Madison Madison AL%34.7185872%-86.7417194%VIOLATION OF PROTECTION OR RESTRAINING ORDER
123%B11-000872%10:56am%I%April10,2011%100 Block of Spencer Green Madison AL%34.731037%-86.750412%BURGLARY-3RD
124%B11-000872%10:56am%I%April10,2011%100 Block of Spencer Green Madison AL%34.731037%-86.750412%THEFT 2ND DEGREE
125%B11-000873%11:20am%I%April10,2011%100 Block of Whisperwood Ln Madison AL%34.7035845%-86.7511344%BURGLARY-3RD
126%B11-000873%11:20am%I%April10,2011%100 Block of Whisperwood Ln Madison AL%34.7035845%-86.7511344%THEFT 3RD DEGREE
127%B11-000874%2:19pm%II%April10,2011%100 Block of Boston Harbour Way Madison AL%34.737426%-86.775927%BURGLARY-3RD
128%B11-000874%2:19pm%II%April10,2011%100 Block of Boston Harbour Way Madison AL%34.737426%-86.775927%THEFT 3RD DEGREE
129%B11-000875%3:31pm%II%April10,2011%2000 Block of Flagstone Dr Madison Madison AL%34.6922419%-86.7213326%DOMESTIC VIOLENCE 3RD
130%B11-000877%4:35pm%II%April10,2011%8000 Block of Madison Blvd Madison Madison AL%34.678548%-86.745506%ROBBERY-3RD-BUSINESS-OTHER WEAPON
131%B11-000879%8:30pm%II%April10,2011%100 Block of Wesly Clark Blvd Madison AL%34.696467%-86.7907486%HARASSING COMMUNICATIONS
132%B11-000881%12:25am%III%April11,2011%100 Block of Athens Blvd Madison AL%34.715197%-86.73223%UNLAWFUL BREAKING AND ENTERING A VEHICLE
133%B11-000882%12:25am%III%April11,2011%100 Block of Athens Blvd Madison AL%34.715197%-86.73223%UNLAWFUL BREAKING AND ENTERING A VEHICLE
134%B11-000884%6:40am%I%April11,2011%200 Block of Brockton Dr Madison AL%34.686693%-86.7934244%BREAKING AND ENTERING A VEHICLE
135%B11-000886%9:40am%I%April11,2011%1000 Block of Hughes Rd Madison AL%34.7218484%-86.7416113%THEFT 3RD DEGREE
136%B11-000887%11:32am%I%April11,2011%Global Majic, 216 Pointe Verde Cir Madison Madison AL%34.707674%-86.778525%BURGLARY-2ND
137%B11-000887%11:32am%I%April11,2011%Global Majic, 216 Pointe Verde Cir Madison Madison AL%34.707674%-86.778525%BREAKING AND ENTERING A VEHICLE
138%B11-000889%2:28pm%II%April11,2011%100 Block of Medicine Bend Ct Madison AL%34.747746%-86.762944%DOMESTIC VIOLENCE 3RD
139%B11-000890%4:15pm%II%April11,2011%100 Block of Shelton Rd Madison Madison AL%34.6930512%-86.7159831%ATTEMPTED BURGLARY-3RD-FORCE-RESIDENCE
140%B11-000891%6:25pm%II%April11,2011%100 Block of Medicine Bend Madison Madison AL%34.746517%-86.757482%DOMESTIC VIOLENCE 3RD
141%B11-000893%8:35pm%II%April11,2011%500 Block of Brenda Dr Madison Madison AL%34.7113908%-86.7168084%BREAKING AND ENTERING A VEHICLE
142%B11-000894%10:00pm%III%April11,2011%900 Block of Bridgefield Rd Madison AL%34.7142948%-86.7534462%UNLAWFUL BREAKING AND ENTERING A VEHICLE
